mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes"
POR,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical OR
PADDSB,mm,mm/m64,,,mmx,,,,,,Add Packed Signed Integers with Signed Saturation
PADDSB,xmm,xmm/m128,,,sse2,,,,,,Add Packed Signed Integers with Signed Saturation
PADDSW,mm,mm/m64,,,mmx,,,,,,Add Packed Signed Integers with Signed Saturation
PADDSW,xmm,xmm/m128,,,sse2,,,,,,Add Packed Signed Integers with Signed Saturation
PMAXSW,mm,mm/m64,,,sse1,,,,,,Maximum of Packed Signed Word Integers
PMAXSW,xmm,xmm/m128,,,sse1,,,,,,Maximum of Packed Signed Word Integers
PXOR,mm,mm/m64,,,mmx,,,,,,Logical Exclusive OR
PXOR,xmm,xmm/m128,,,sse2,,,,,,Logical Exclusive OR
LDDQU,xmm,m128,,,sse3,,,,,,Load Unaligned Integer 128 Bits
PSLLW,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Left Logical
PSLLW,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Left Logical
PSLLD,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Left Logical
PSLLD,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Left Logical
PSLLQ,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Left Logical
PSLLQ,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Left Logical
PMULUDQ,mm,mm/m64,,,sse2,,,,,,Multiply Packed Unsigned DW Integers
PMULUDQ,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Unsigned DW Integers
PMADDWD,mm,mm/m64,,,mmx,,,,,,Multiply and Add Packed Integers
PMADDWD,xmm,xmm/m128,,,sse2,,,,,,Multiply and Add Packed Integers
PSADBW,mm,mm/m64,,,sse1,,,,,,Compute Sum of Absolute Differences
PSADBW,xmm,xmm/m128,,,sse1,,,,,,Compute Sum of Absolute Differences
MASKMOVQ,m64,mm,mm,,sse1,,,,,,Store Selected Bytes of Quadword
MASKMOVDQU,m128,xmm,xmm,,sse2,,,,,,Store Selected Bytes of Double Quadword
PSUBB,mm,mm/m64,,,mmx,,,,,,Subtract Packed Integers
PSUBB,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Integers
PSUBW,mm,mm/m64,,,mmx,,,,,,Subtract Packed Integers
PSUBW,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Integers
PSUBD,mm,mm/m64,,,mmx,,,,,,Subtract Packed Integers
PSUBD,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Integers
PSUBQ,mm,mm/m64,,,sse2,,,,,,Subtract Packed Quadword Integers
PSUBQ,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Quadword Integers
PADDB,mm,mm/m64,,,mmx,,,,,,Add Packed Integers
PADDB,xmm,xmm/m128,,,sse2,,,,,,Add Packed Integers
PADDW,mm,mm/m64,,,mmx,,,,,,Add Packed Integers
PADDW,xmm,xmm/m128,,,sse2,,,,,,Add Packed Integers
PADDD,mm,mm/m64,,,mmx,,,,,,Add Packed Integers
PADDD,xmm,xmm/m128,,,sse2,,,,,,Add Packed Integers
